experiment_date,animal_name,experiment_outcome,run_preprocessing,run_ephys_analysis,load_for_data_pool,best_fm_rec,unit2highlight,current_status,animal_dirpath,computer,drive,day_post_implant,probe_type,manipulation,num_single_units,Visually responsive units?,noise notes (any noise?),drift notes (large drift?),wn experiment and analysis notes,sparsenoiseflash experiment and analysis notes,gratings experiment and analysis notes notes,fm experiment and analysis notes,other analysis notes,Full analysis status (finished/incomplete),other
2/15/21,EE11P11LT,good,TRUE,TRUE,TRUE,,7,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\021521\EE11P11LT,goeppert,nlab-nas,1,64ch,none,10,clear RFs,low noise,very little drift (<5um),,,,,,,
2/15/21,EE11P11RT,not useful (drift),FALSE,FALSE,FALSE,,,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\021521\EE11P1RT,goeppert,nlab-nas,1,64ch,none,1,clear RFs but mosly multiunit,low noise,significant drift (~60um),,,,,,,
2/16/21,EE11P11LT,good,FALSE,FALSE,TRUE,,0,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\021621\EE11P1LT,goeppert,nlab-nas,2,64ch,DOI,7,clear RFs,low noise,some drift (~10um),Quick + Full,Full,Full,Full,,,
2/16/21,EE11P11RT,not useful (mua only),FALSE,FALSE,FALSE,,,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\021621\EE11P1RT,goeppert,nlab-nas,2,64ch,Saline,0,Yes ,low noise,some drift (~10um),Quick + Full,Full,Full,Full,,,
2/17/21,EE11P11LT,good,FALSE,FALSE,TRUE,,0,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\021721\EE11P11LT,goeppert,nlab-nas,3,64ch,Saline,4,clear RFs,low noise,some drift (~10um),Quick + Full,Full,Full,Full,,,
2/17/21,EE11P11RT,not useful (mua only),FALSE,FALSE,FALSE,,,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\021721\EE11P11RT,goeppert,nlab-nas,3,64ch,DOI,0,Yes ,low noise,no KS figure saved out,Quick + Full,Full,Full,Full,,,
2/22/21,EE13P2RT,not useful (loose drive),FALSE,FALSE,FALSE,,,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\022221\EE13P2RT,goeppert,nlab-nas,1,64ch,none,run spike sorting,,,,,,,,,,
2/23/21,EE13P2RT,good,FALSE,FALSE,TRUE,,3,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\022321\EE13P2RT,goeppert,nlab-nas,2,64ch,none,3,fairly weak RFs,low noise,some drift (~10um),,,,,,,
2/23/21,EE12P1LN,good - eye tracking may need to be rodone,FALSE,FALSE,TRUE,,13,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\022321\EE12P1LN,goeppert,nlab-nas,2,64ch,none,4,Yes ,No ,No,quick and full wn analyses finished - partial REYE tracking,full sparsenoiseflash analysis finished,Full,Full,"poor REYE tracking in preprocessing, probably due to pupil placement in eye cam",finished,
2/24/21,EE13P2RT,good,FALSE,FALSE,,,,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\022421\EE13P2RT,goeppert,nlab-nas,3,64ch,none,5,clear RFs,low noise,some drift (~10um),,,,,,,
