Experiment date,Animal name,Experiment outcome,run_preproc,run_ephys,rec_types,unit2highlight,Current Status,"Data location (i.e. V2/Kraken, drive)",Computer,Drive,Day post-implant,Probe type (e.g. 64ch),Manipulation,Approx # single units,Visually responsive units?,noise notes (any noise?),drift notes (large drift?),wn experiment and analysis notes,sparsenoiseflash experiment and analysis notes,gratings experiment and analysis notes notes,fm experiment and analysis notes,other analysis notes,Full analysis status (finished/incomplete),other
2/11/21,EE12P1NN,good,TRUE,TRUE,"021121_EE12P1NN_control_Rig2_fm1, 021121_EE12P1NN_control_Rig2_hf1_wn, 021121_EE12P1NN_control_Rig2_hf2_sparsenoiseflash, 021121_EE12P1NN_control_Rig2_hf3_gratings, 021121_EE12P1NN_control_Rig2_hf4_revchecker",0,,\\niell-v2-w7\t\freely_moving_ephys\ephys_recordings\021121\EE12P1NN,Niell-V2-W7,T,4,16ch,none,2,clear RFs,low noise,some drift,,,,,,,
2/15/21,EE11P11LT,good,TRUE,TRUE,"021521_EE11P11LT_control_Rig2_fm1, 021521_EE11P11LT_control_Rig2_fm2, 021521_EE11P11LT_control_Rig2_hf1_wn, 021521_EE11P11LT_control_Rig2_hf2_sprasenoiseflash, 021521_EE11P11LT_control_Rig2_hf3_gratings, 021521_EE11P11LT_control_Rig2_hf4_revchecker",7,,\\kraken\T\freely_moving_ephys\ephys_recordings\021521\EE11P11LT,Kraken,T,1,64ch,none,10,clear RFs,low noise,very little drift (<5um),,,,,,,
2/15/21,EE11P11RT,not useful (drift),FALSE,FALSE,,,,kraken Z drive,Kraken,Z,1,64ch,none,1,clear RFs but mosly multiunit,low noise,significant drift (~60um),,,,,,,
2/16/21,EE11P11LT,good,TRUE,TRUE,"021621_EE11P1LT_control_Rig2_fm1, 021621_EE11P1LT_control_Rig2_fm2, 021621_EE11P1LT_control_Rig2_hf1_wn, 021621_EE11P1LT_control_Rig2_hf2_sprasenoiseflash, 021621_EE11P1LT_control_Rig2_hf3_gratings, 021621_EE11P1LT_control_Rig2_hf4_revchecker, 021621_EE11P1LT_control_Rig2_hf5_revchecker, 021621_EE11P1LT_control_Rig2_hf6_gratings, 021621_EE11P1LT_control_Rig2_hf7_sprasenoiseflash, 021621_EE11P1LT_control_Rig2_hf8_wn",22,,\\kraken\Z\freely_moving_ephys\021621\EE11P1LT,Kraken,Z,2,64ch,DOI,7,clear RFs,low noise,some drift (~10um),Quick + Full,Full,Full,Full,,,
2/16/21,EE11P11RT,not useful (mua only),FALSE,FALSE,,,,V2 T drive,Niell-V2-W7,T,2,64ch,Saline,0,Yes ,low noise,some drift (~10um),Quick + Full,Full,Full,Full,,,
2/17/21,EE11P11LT,good,TRUE,TRUE,021721_EE11P11LT_control_Rig2_,93,,\\kraken\Z\freely_moving_ephys\021721\EE11P11LT,Kraken,Z,3,64ch,Saline,4,clear RFs,low noise,some drift (~10um),Quick + Full,Full,Full,Full,,,
2/17/21,EE11P11RT,not useful (mua only),FALSE,FALSE,,,,V2 T drive,Niell-V2-W7,T,3,64ch,DOI,0,Yes ,low noise,no KS figure saved out,Quick + Full,Full,Full,Full,,,
2/22/21,EE13P2RT,not useful (loose drive),FALSE,FALSE,,,,kraken Z drive,Kraken,Z,1,64ch,none,run spike sorting,,,,,,,,,,
2/23/21,EE13P2RT,good,TRUE,TRUE,,,,kraken Z drive,Kraken,Z,2,64ch,none,3,fairly weak RFs,low noise,some drift (~10um),,,,,,,
2/23/21,EE12P1LN,good - eye tracking may need to be rodone,TRUE,TRUE,,,,V2 T drive,Niell-V2-W7,T,2,64ch,none,4,Yes ,No ,No,quick and full wn analyses finished - partial REYE tracking,full sparsenoiseflash analysis finished,Full,Full,"poor REYE tracking in preprocessing, probably due to pupil placement in eye cam",finished,
2/24/21,EE13P2RT,good,,,,,,V2 T drive,Niell-V2-W7,T,3,64ch,none,5,clear RFs,low noise,some drift (~10um),,,,,,,
3/8/21,EE8P7LT,good,FALSE,FALSE,,12,ephys analysis complete,\\niell-v2-w7\T\freely_moving_ephys\ephys_recordings\030821\EE8P7LT,Niell-V2-W7,T,1,64ch,none,2,yes; one clear RF. MUA removed from analysis,low noise,~10 um,quick finished,,,,,,
3/8/21,EE8P7RT,good,FALSE,FALSE,,0,ephys analysis complete,\\niell-v2-w7\T\freely_moving_ephys\ephys_recordings\030821\EE8P7RT,Niell-V2-W7,T,1,16ch,none,4,clear RFs,low noise,very little drift,,,,,,,
3/8/21,EE11P13LTRN,good,FALSE,FALSE,,10,ephys analysis complete,\\kraken\T\freely_moving_ephys\ephys_recordings\030821\EE11P13LTRN,Niell-V2-W7,T,1,64ch,none,10-15,clear RFs,low noise,very little drift (<5um),,,,,,,
3/9/21,EE8P7RT,,,,,,needs everything,\\niell-v2-w7\T\freely_moving_ephys\ephys_recordings\030921\EE8P7RT,Niell-V2-W7,T,2,16ch,none,2,,low noise,very little drift,,,,,2 units but they're probably the same cell,,
3/9/21,EE11P13LTRN,good,FALSE,FALSE,,0,memory error on fm1 ephys,\\niell-v2-w7\T\freely_moving_ephys\ephys_recordings\030921\EE11P13LTRN,Niell-V2-W7,T,2,64ch,none,10-15,clear RFs,low noise,very little drift (<5um),,,,,,,
3/10/21,EE11P13LTRN,good,FALSE,FALSE,,12,,\\niell-v2-w7\T\freely_moving_ephys\ephys_recordings\031021\EE11P13LTRN,Niell-V2-W7,T,3,64ch,none,10-15,clear RFs,low noise,very little drift (<5um),,,,,,,
